from_stop_id,to_stop_id,transfer_type,min_transfer_time
37170,35669,2,60
37169,35669,2,120
36434,35669,2,120
36394,35669,2,120
35669,35668,2,60
39996,35668,2,120
37274,35668,2,120
37216,35668,2,120
37170,35668,2,60
37169,35668,2,120
36434,35668,2,120
36394,35668,2,120
35667,35666,2,60
35667,32303,2,120
35667,32302,2,120
35666,32303,2,120
35666,32302,2,120
35665,35664,2,60
43124,35663,2,120
43123,35663,2,120
35663,35662,2,60
43124,35662,2,120
43123,35662,2,120
35661,35660,2,60
35661,11501,2,180
35661,11500,2,180
35661,10130,2,180
35661,10129,2,180
35660,11501,2,180
35660,11500,2,180
35660,10130,2,180
35660,10129,2,180
46025,35659,2,360
46024,35659,2,180
35094,2545,2,120
35094,2543,2,120
35094,2542,2,120
35094,2541,2,120
46052,3503,2,240
42743,3503,2,240
3503,30156,2,240
45378,34875,2,420
43838,34875,2,420
43836,34875,2,180
43835,34875,2,180
45378,34874,2,420
43838,34874,2,420
43836,34874,2,180
43835,34874,2,180
34837,34836,2,60
34835,34834,2,60
34835,2934,2,180
34835,2933,2,180
34834,2934,2,180
34834,2933,2,180
34416,30448,2,180
34416,30447,2,180
46025,34350,2,180
46024,34350,2,180
35659,34350,2,360
34350,32121,2,240
34350,32120,2,360
3434,30206,2,240
3434,30205,2,240
34005,30210,2,240
34005,30209,2,240
33947,30184,2,180
33947,30183,2,180
33845,30184,2,180
33845,30183,2,180
3378,30159,2,240
33685,30202,2,180
33685,30201,2,180
33685,30103,2,180
33545,32111,2,180
33545,32110,2,180
33545,30200,2,180
33545,30199,2,180
46054,3333,2,120
42741,3333,2,120
33265,33264,2,120
33265,30211,2,180
33265,10386,2,180
33264,30211,2,180
34434,33214,2,180
34433,33214,2,180
33214,33213,2,120
37847,33213,2,180
34535,33213,2,180
34434,33213,2,180
34433,33213,2,180
3336,33212,2,180
33212,33211,2,120
33212,2869,2,180
33212,2868,2,180
3336,33211,2,180
33211,2869,2,180
33211,2868,2,180
33210,33209,2,120
33210,3132,2,120
33210,3131,2,120
33209,3132,2,120
33209,3131,2,120
33208,33207,2,120
33206,33205,2,120
43028,33204,2,180
43027,33204,2,180
33204,33203,2,120
43028,33203,2,180
43027,33203,2,180
3297,32113,2,120
3297,32112,2,120
32962,32157,2,180
32962,32156,2,180
32962,30190,2,240
32962,30189,2,240
32782,32153,2,240
32782,32152,2,240
32782,32151,2,240
32782,32150,2,240
32682,30206,2,240
32682,30205,2,240
46025,32503,2,180
46024,32503,2,180
35659,32503,2,360
32503,32121,2,240
32503,32120,2,360
46025,32502,2,180
46024,32502,2,180
35659,32502,2,360
32502,32121,2,240
